AUDIO_0|0
AUDIO_2024|2024
AUDIO_2025|2025
AUDIO_2026|2026
AUDIO_2027|2027
AUDIO_2028|2028
AUDIO_2029|2029
AUDIO_2030|2030
AUDIO_2031|2031
AUDIO_2032|2032
AUDIO_2033|2033
AUDIO_2034|2034
AUDIO_2035|2035
AUDIO_2036|2036
AUDIO_2037|2037
AUDIO_2038|2038
AUDIO_1st|1st
AUDIO_2nd|2nd
AUDIO_3rd|3rd
AUDIO_4th|4th
AUDIO_5th|5th
AUDIO_6th|6th
AUDIO_7th|7th
AUDIO_8th|8th
AUDIO_9th|9th
AUDIO_10th|10th
AUDIO_11th|11th
AUDIO_12th|12th
AUDIO_13th|13th
AUDIO_14th|14th
AUDIO_15th|15th
AUDIO_16th|16th
AUDIO_17th|17th
AUDIO_18th|18th
AUDIO_19th|19th
AUDIO_20th|20th
AUDIO_21st|21st
AUDIO_22nd|22nd
AUDIO_23rd|23rd
AUDIO_24th|24th
AUDIO_25th|25th
AUDIO_26th|26th
AUDIO_27th|27th
AUDIO_28th|28th
AUDIO_29th|29th
AUDIO_30th|30th
AUDIO_31st|31st
AUDIO_ONE|One
AUDIO_OCLOCK|oclock
AUDIO_01|o1
AUDIO_02|o2
AUDIO_03|o3
AUDIO_04|o4
AUDIO_05|o5
AUDIO_06|o6
AUDIO_07|o7
AUDIO_08|o8
AUDIO_09|o9
AUDIO_JANUARY|January
AUDIO_FEBRUARY|February
AUDIO_MARCH|March
AUDIO_APRIL|April
AUDIO_MAY|May
AUDIO_JUNE|June
AUDIO_JULY|July
AUDIO_AUGUST|August
AUDIO_SEPTEMBER|September
AUDIO_OCTOBER|October
AUDIO_NOVEMBER|November
AUDIO_DECEMBER|December
AUDIO_SUNDAY|Sunday
AUDIO_MONDAY|Monday
AUDIO_TUESAY|Tuesday
AUDIO_WEDNESDAY|Wednesday
AUDIO_THURSDAY|Thursday
AUDIO_FRIDAY|Friday
AUDIO_SATURDAY|Saturday
AUDIO_EDITTIME|Turn the knob to change the value. The value is accepted by finally pressing the knob. If the knob is not pressed, the change is automatically canceled after one minute.
AUDIO_EDITVOLUME|Turn the knob to change. Press the knob again to accept the new volume level. If the knob is not pressed, the volume change is automatically canceled after one minute.
AUDIO_CHANGETIMEDESC|To select a time unit, turn the knob and press to confirm
AUDIO_DONE|Done
AUDIO_ABORTED|Canceled
AUDIO_ABORT|Cancel
AUDIO_CHANGETIME|Change time
AUDIO_HOUR|Hour
AUDIO_MINUTE|Minute
AUDIO_SECOND|Second
AUDIO_DAY|Day
AUDIO_MONTH|Month
AUDIO_YEAR|Year
AUDIO_SUNRISE|Sunrise
AUDIO_SUNSET|Sunset
AUDIO_STARTSYNC|Start time synchronization
AUDIO_SYNCDESC1|Time synchronization can take up to 
AUDIO_SYNCDESC2|minutes and can be cancel by pressing the knob
AUDIO_SYNCABORTED|Time synchronization canceled
AUDIO_SYNCSUCCESS|Time synchronization was successful
AUDIO_LASTSYNCFAILED|Last time synchronization failed. The time may therefore be inaccurate or incorrect
AUDIO_CHANGEVOLUME|Change audio volume
AUDIO_VOLUME|Volume
AUDIO_VCC|Operating voltage
AUDIO_VOLT|Volt
AUDIO_DOT|Dot
AUDIO_CLOCK|Clock
AUDIO_COMPLETETIME|Complete time announcement
AUDIO_MAINMENU|Main menu
AUDIO_MAINMENUDESC|To select a menu item, turn the knob and press to confirm
AUDIO_CURRENTITEM|Current selection
AUDIO_MAINMENUEXIT|Exit main menu
AUDIO_MAINMENUEXITED|Main menu exited
AUDIO_BACK|Back to main menu
AUDIO_CHANGELANGUAGE|Change language
AUDIO_LANGUAGE|Language
AUDIO_LANGUAGEEDIT|Press the knob to change the language
AUDIO_LANGUAGEEN|English
AUDIO_LANGUAGEDE|German
